name,route_type,focus,url
NASA Ocean Worlds,framing,"planetary oceans, water worlds, habitability",https://science.nasa.gov/solar-system/ocean-worlds
Network for Ocean Worlds (NOW),research network,"analog environments, comparative ocean-world science",https://science.nasa.gov/astrobiology/researchers/rcns/now/
NASA Astrobiology,interdisciplinary program,"life, habitability, planetary environments",https://astrobiology.nasa.gov/about/
Europa Clipper,mission community,"Europa, habitability, planetary ocean science",https://europa.nasa.gov/mission/about/
Dragonfly,mission community,"Titan, chemistry, prebiotic environments",https://science.nasa.gov/mission/dragonfly/science/
OPAG,advisory group,"outer planets and ocean worlds",https://www.lpi.usra.edu/opag/
VEXAG,advisory group,"Venus exploration",https://www.lpi.usra.edu/vexag/
MExAG,advisory group,"Mercury exploration",https://www.lpi.usra.edu/mexag/
LEAG,advisory group,"lunar exploration",https://www.lpi.usra.edu/leag/
