code,source_layer,bitrix_category,site_presence,public_status,next_public_step
SDI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
RTOHI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
WEMI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
CCHPI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
3DPESI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
SWQI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
NLWI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
UCPWRI,site+bitrix,indexes and ratings,confirmed,tracked,methodology-note
